Iteration,AvgElmanSSE,AvgElmanPE,AvgJordanSSE,AvgJordanPE,AvgFFNNSSE,AvgFFNNPE,AvgStandardPSOSSE,AvgStandardPE,AvgChargedPSOSSE,AvgChargedPE
0,0.0,7.905256618268271,0.0,21.09474275088257,0.0,21.09474323993207,0.5485963683783399,21.0947430812547,0.5485963946650705,21.094743106806476
1,0.11617231985209926,7.248808185799528,0.5485963931197058,21.094742746532642,0.5485964081434695,21.094743239016232,0.548596366525132,21.09474306941105,0.23445649149765624,11.901189336175907
2,0.10238447855209998,6.691366410552681,0.5485963929595652,21.094742742152704,0.5485964080885406,21.094743238094487,0.5485963646010008,21.094743057100626,0.2338571740760723,11.869844667479617
3,0.09094137376412646,6.2522543328862,0.5485963927983402,21.094742737742582,0.5485964080332636,21.094743237166785,0.5485963626032314,21.094743044305027,0.22478278365785465,11.590509239934706
4,0.08144425808831234,5.866431868977086,0.5485963926360232,21.094742733302034,0.548596407977636,21.094743236233104,0.5485963605290056,21.094743031005127,0.2157018380955194,11.310545586381448
5,0.073562197194603,5.525469829251617,0.5485963924726073,21.094742728830877,0.5485964079216554,21.094743235293382,0.5485963583753974,21.094743017181052,0.2151039333745586,11.27839218486817
6,0.06702053635211995,5.261663303261508,0.5485963923080852,21.0947427243289,0.5485964078653194,21.094743234347593,0.5485963561393681,21.094743002812155,0.21451504542531163,11.246421289226925
7,0.06159132886034874,5.038995338171411,0.5485963921424488,21.09474271979587,0.5485964078086267,21.094743233395697,0.5485963538177626,21.094742987876963,0.2139349475122802,11.214626380288893
8,0.057085392537935556,4.869923526790745,0.5485963919756911,21.094742715231583,0.5485964077515743,21.09474323243765,0.5485963514073059,21.094742972353156,0.2130902777771414,11.121521218737502
9,0.053345717272579286,4.728889107717395,0.5485963918078042,21.09474271063583,0.5485964076941596,21.094743231473426,0.5485963489045972,21.094742956217537,0.21086565090920806,11.013223001295326
10,0.050241993789764405,4.624744398337385,0.5485963916387806,21.09474270600839,0.5485964076363813,21.094743230502974,0.5485963463061051,21.094742939445997,0.20876397719776538,10.880889409375044
11,0.04766607291617884,4.536991897672181,0.5485963914686122,21.094742701349045,0.5485964075782362,21.094743229526244,0.548596343608164,21.094742922013474,0.2077123340749156,10.850792823486664
12,0.04552819706809069,4.457047816355644,0.5485963912972917,11.450160093621376,0.5485964075197224,8.621796860401673,0.5485963408069663,21.09474290389393,0.20693962929480533,10.825211272330158
13,0.04375387262284718,4.384217252551477,0.26968188497317785,11.450046616725142,0.2629788817352565,8.621763000024291,0.548596337898561,21.09474288506027,0.2061968159099712,10.786824306317662
14,0.04228127417542982,4.326081148833209,0.2696808436320228,11.449934218578024,0.26297797715484883,8.62166966612582,0.5485963348788438,21.09474286548436,0.20558045279030923,10.748012974145258
15,0.04105909022293523,4.278857934428919,0.26967981705615524,11.449823308147307,0.2629770828564859,8.621579045126843,0.5485963317435538,21.09474284513695,0.20499841204650437,10.710983119456397
16,0.04004473520576864,4.235836344338932,0.26967880504071623,11.449709146158819,0.2629761986900783,8.621489930331112,0.5485963284882678,21.094742823987644,0.2044353589547936,10.674747885529897
17,0.039202865602515416,4.204168526333276,0.26967780737143093,11.449595621240992,0.26297532450732625,8.621408499384927,0.5485963251083923,21.094742802004838,0.20388815180136868,10.638957242386063
18,0.03850414837152885,4.180413835257492,0.26967682385191316,11.44948271828261,0.262974459952544,8.621335243705044,0.5485963215991583,21.09474277915567,0.2033559579537174,10.603725187174936
19,0.0379242388259331,4.166100173293123,0.2696758542885869,11.449370433330527,0.26297360487296345,8.62126235596026,0.5485963179556141,21.094742755406013,0.20283838502794144,10.569361735475686
20,0.037442932326694225,4.153059459145971,0.26967489849064324,11.44925876246029,0.2629727591287886,8.621189833655885,0.5485963141726189,21.09474273072038,0.20233512087082364,10.53558937240124
21,0.037043460235135856,4.141178396552,0.26967395626999763,11.449149140028627,0.2629719225818697,8.621117674318503,0.5485963102448345,21.09474270506188,0.1933555969027603,10.253808711007899
22,0.03671190559292655,4.13035377379188,0.2696730274412489,11.449040387735442,0.2629710950956795,8.621045875495774,0.5485963061667182,21.094742678392173,0.19286384893062056,10.220236097257905
23,0.036436718169355856,4.1204915659887575,0.26967211157360343,11.448927974517181,0.26297027653529126,8.620974434756219,0.5485963019325161,21.09474265067142,0.19238591283904255,10.187279318027926
24,0.036208311978049794,4.111506117313802,0.26967120820580825,10.876345976235077,0.2629694667673561,8.238533711103706,0.5485962975362526,21.094742621858185,0.19192133186585925,10.154821689332925
25,0.03601873123881365,4.103319395991101,0.2533911017878227,10.876333679920632,0.26084177195349734,8.238574623226917,0.5485962929717246,21.094742591909426,0.19146976841048446,10.122965945793249
26,0.035861373145167914,4.095860315624106,0.2533902881114268,10.876266032009465,0.260841054760565,8.23855679740507,0.5485962882324908,21.094742560780386,0.1825406401712712,9.843155212932457
27,0.035730757777464664,4.089064116941045,0.2533894869370308,10.876203003234828,0.2608403453686526,8.238539040444005,0.5485962833118632,21.09474252842455,0.18209797520061682,9.811548692764054
28,0.03562233714420458,4.0828718045813615,0.25338869786114204,10.876140248583962,0.2608396435084828,8.227942242993441,0.5485962782028981,21.094742494793614,0.17317753890911017,9.531934582380522
29,0.035532336697558384,4.077229634023213,0.2533879206964876,10.876077766441421,0.2608097244191992,8.227935528762622,0.5485962728983861,21.094742459837263,0.17274321235799248,9.500475374574538
30,0.03545762380063422,4.072088644188132,0.25338715527090283,10.876015555218464,0.2608090775248168,8.227925265645819,0.548596267390841,21.094742423503305,0.1720578040286895,9.474755393285701
