Iteration,AvgElmanSSE,AvgElmanPE,AvgJordanSSE,AvgJordanPE,AvgFFNNSSE,AvgFFNNPE,AvgStandardPSOSSE,AvgStandardPE,AvgChargedPSOSSE,AvgChargedPE
0,0.0,132.62136912995172,0.0,342.33183390493565,0.0,342.3307363184964,0.5364337796720656,342.34999412204644,0.5363185413503414,342.2764866006413
1,0.09402600771341253,51.88764228842369,0.5364474431913085,342.3289176141566,0.5362169564007122,342.3281791137511,0.5363804744723166,342.3391405782511,0.29672123169118303,221.44913112493794
2,0.019669266063291942,42.89737461943754,0.5364394120547018,342.32581978998485,0.5361976469514664,342.3254852420743,0.5363074130522687,342.3241834575495,0.29259115723606116,217.2176378029055
3,0.014849971480929678,42.20828537024176,0.5364308850136481,342.3225291317938,0.5361772992154983,342.3226473767505,0.5362072794247972,342.3035740958097,0.2892872714082757,213.62408821003623
4,0.014536195054777006,42.127256178806704,0.5364218314606581,342.31903363389705,0.5361558568899343,342.31965779551547,0.5360700466053561,342.27518017190073,0.2866461297358223,210.50412598524326
5,0.014507708834323806,42.10281552770489,0.5364122188964497,342.31532054127376,0.5361332605639972,342.31650835889036,0.5358819672674412,342.2360656481876,0.044855859316627215,86.90014681583756
6,0.014495385935674038,42.082122549674864,0.5364020128124366,342.3113763024728,0.5361094475413761,342.3131904873029,0.5356241844950886,342.1821875875197,0.03909817846670521,80.28889351095393
7,0.014483474545297794,42.06206582170091,0.5363911765658311,342.30718651950644,0.5360843516517839,342.3096951369099,0.5352708158046602,342.1079782221775,0.03451451927526247,74.66554386327499
8,0.014471437520836346,42.042126678315334,0.5363796712468842,342.3027358945461,0.5360579030509769,342.30601277405583,0.5347863044258664,342.0057685776418,0.03087080245428683,69.8772265761118
9,0.014459368522962965,42.022245870614654,0.5363674555377554,342.2980081731928,0.53603002800845,342.302133348275,0.5341217475116562,341.864993399415,0.02798005784987799,65.70746585377367
10,0.014447306948606013,42.002448236536736,0.5363544855624711,342.292986084115,0.5360006486819668,342.2980462637639,0.5332097915622142,341.6710949380756,0.025688439195007733,62.12081535108791
11,0.014435263920135683,41.982670165102036,0.5363407147273904,342.287651274791,0.5359696828780107,342.293740349215,0.5319575202433646,341.40401496475465,0.02387090852363048,59.08093763134907
12,0.014423242338974364,41.962911135953675,0.5363260935515575,342.2819842431129,0.5359370437971711,342.2890359403026,0.5302365458760454,341.03613338811925,0.022427334473897866,56.58279520425462
13,0.014411242928122974,41.94317100135299,0.5363105694862862,342.27596426456216,0.4027870305659521,342.28424774083965,0.5278692862184928,340.5294926725844,0.021278392220707494,54.48074575188041
14,0.01439926584536727,41.92344971386282,0.5362940867232568,342.26956931466464,0.4027479559095238,342.2792029720485,0.5246103176031018,339.8321878144933,0.02036166254519723,52.7226391565744
15,0.014387311102516415,41.903747252991835,0.5362765859903783,342.2627759864006,0.4027073705515177,342.27388779993214,0.5201222527778181,338.8740382315161,0.019029294608669017,50.00501821441749
16,0.014375378673714292,41.88406360546654,0.5362580043345996,342.25555940222847,0.402665130529819,342.26828763482223,0.5139482011119674,337.56243534471616,0.017677834471107615,48.43350048103173
17,0.014363468523404935,41.86444513644587,0.5362382748908031,342.24789312035296,0.40262109024549864,342.26238708903566,0.505490672705845,335.7812907255445,0.016765997575625764,47.272659130436296
18,0.01435158061355839,41.844873443270174,0.5362173266358508,342.2397490348387,0.40257510163282495,342.25616993204505,0.4940237198403098,333.4000296951291,0.016134613308733323,46.37416760782907
19,0.01433971490553976,41.82532047225766,0.5361950841267831,342.2310972691436,0.40252701335976804,342.24961904299994,0.47878143595653144,330.30275210908735,0.014874352345120813,43.135269729353126
20,0.014327871360593204,41.80578621262964,0.5361714672221053,342.22190606261853,0.4024766700505541,342.2427163604383,0.45910630816052467,326.43167472149673,0.013657854833496016,42.02677810657026
21,0.01431604993996743,41.78628602776611,0.5361463907850108,342.2121416494663,0.40242391152252194,342.23544282899684,0.4343804769928501,321.77209132054713,0.012882287864780635,41.23855696578532
22,0.014304250604948276,41.76681718007774,0.5361197643673085,342.20176812964195,0.4023685720300728,342.227778342933,0.40345247313062305,316.15841580994083,0.012380474580274907,40.68414185582612
23,0.014292473316867177,41.74736698171458,0.5360914918727346,342.1907473311134,0.40231047950896304,342.2197016862425,0.3647802868308589,308.94653684915085,0.012050666971167343,40.29268827745004
24,0.01428071803710337,41.727935421759184,0.536061471198222,342.17903866286315,0.40224945481449714,342.21119046915237,0.3191061859179186,298.7418040646201,0.011830161008088815,40.02657160767944
25,0.01426898472708449,41.70852248927527,0.5360295938515973,342.1665989579643,0.4021853109474331,342.2022210607478,0.2700364687512684,283.2777221502788,0.011679833751299787,39.83240184540104
26,0.014257273348286742,41.689130642295176,0.5359957445440608,342.15338230600923,0.40211785226154306,342.1927685174662,0.22023193402329488,260.16539083564834,0.011574979490172232,39.690565945304826
27,0.014245583862234942,41.66975763488411,0.5359598007556741,342.1393398741108,0.40204687364685104,342.18280650718646,0.1741265550190314,230.43590783571577,0.011499821695352597,39.58050046812174
28,0.014233916230502547,41.65040321397041,0.5359216322719376,342.12441971562737,0.4019721596825395,342.1723072286054,0.13737891117107326,200.60571103874216,0.011444185080117816,39.49544911696165
29,0.014222270414711661,41.631067368498044,0.5358811006894073,342.1085665657024,0.4018934837534398,342.161241325579,0.10853044092173608,172.55610847971667,0.011401450153028729,39.42380259920924
30,0.014210646376533062,41.61175008739292,0.5358380588881098,342.0917216226212,0.40181060712384853,342.14957779607255,0.08189962141111029,144.09561209983707,0.011367279084098833,39.36527817483464
31,0.01419904407768621,41.59245135956294,0.535792350468363,342.07382231390886,0.4017232779621748,342.13728389534685,0.056599405106261796,114.14882991533975,0.011338811976343236,39.319964274271285
32,0.014187463479939275,41.573171173898075,0.535743809149396,342.05480204600525,0.40163123030960546,342.1243250329588,0.03765385693357908,89.00961029519252,0.011314154040972359,39.280233565044156
33,0.014175904545109126,41.5539260880838,0.5356922581269532,342.03458993623576,0.401534182985585,342.11066466314264,0.02692565227118876,71.55514011272747,0.011292045051657564,39.243948452710384
34,0.01416436723506135,41.5347193214061,0.5356375093868447,342.0131105257074,0.40143183842242336,342.0962641680836,0.021633719464075586,60.932680098109586,0.011271644398313206,39.20912936755944
35,0.014152851511710297,41.51553102609283,0.5355793629711321,341.99028347160976,0.4013238814207848,342.0810827335643,0.01907228692859155,54.66047361890142,0.011252390248311116,39.17582566121094
36,0.01414135733701905,41.49638597754668,0.5355176061933744,341.9660232172904,0.40120997781714896,342.0650772164121,0.01779841115449292,51.24709063855556,0.011233906669597548,39.14354739871939
37,0.014129884672999467,41.47726869781141,0.5354520127990429,341.94023863829864,0.4010897730535724,342.04820200314145,0.017141229775242208,49.436708804166,0.011215942052080614,39.11224100424392
38,0.01411843348171218,41.45816982558637,0.5353823420668834,341.9128326624484,0.4009628906392091,342.03040885911076,0.016789892214833856,48.496376901042524,0.011198328098750687,39.08126214442406
39,0.01410700372526662,41.43908934964802,0.5353083378466241,341.8837018617504,0.4008289304920474,342.0063426275756,0.01659559965613937,48.10174322784158,0.01118095241742149,39.05031768272127
40,0.014095595365821018,41.420038846911,0.5352297275280329,341.8527360138661,0.40029374576512816,341.986255763204,0.016484397252236868,47.934687247308446,0.01116374015088622,39.01937773933075
41,0.014084208365582437,41.40105831087267,0.5351462209358655,341.81981763051533,0.40014377547139107,341.96507170442976,0.016418263727189034,47.87317576339183,0.011146641638968734,38.98844331116117
42,0.014072842686806752,41.382096064051105,0.5350575091447619,341.78482145000294,0.3999853540411172,341.9427290314558,0.016377089651335334,47.85820403964582,0.01112962411987961,38.95751552911895
43,0.014061498291798698,41.36315209520337,0.534963263207593,341.74761389077054,0.3998179654648455,341.91916272356525,0.01584354779882242,46.92693961101523,0.011112666143936818,38.926595574101185
44,0.014050175142911864,41.34422639306991,0.5348631327901633,341.7080524625517,0.3996410594685511,341.89430393042136,0.015492033516585221,46.7067819570716,0.011095753812454996,38.89568462007304
45,0.014038873202548716,41.3253189463747,0.5347567447045041,341.6659851313749,0.39945404881853225,341.8680797269858,0.01528343212623936,46.57801656811375,0.011078878246669605,38.86484615169838
46,0.01402759243316059,41.30642974382522,0.534643701332252,341.6212496342656,0.39925630638320797,341.8404128506896,0.015156673325135372,46.50159846468094,0.011062033886418783,38.83402658770922
47,0.014016332797247736,41.28757020838406,0.5345235789287958,341.5736727390697,0.39904716192598766,341.81122141936,0.015077590824256184,46.46643650425679,0.011045217348803163,38.8033050187034
48,0.01400509425735929,41.26873119743193,0.5343959257979596,341.52306944434196,0.39882589860041173,341.7804186282611,0.01502668665655658,46.44273632059238,0.011028426664713641,38.772589490568855
49,0.01399387677609333,41.249916299355185,0.5342602603259874,341.46924211369793,0.39859174911541895,341.7479124244499,0.01499263950706925,46.42979437161034,0.011011660770165873,38.741876095397444
50,0.013982680316096854,41.23121212250726,0.5341160688624822,341.4119795384285,0.39834389153486394,341.71360515646137,0.014968779211010873,46.4224617785151,0.010994919169232432,38.711208634742874
51,0.013971504840065811,41.212526007056994,0.5339628034346984,341.3510559214975,0.39808144467123147,341.6773931971322,0.014951127994451889,46.41562042684578,0.010978201712302352,38.68055619130545
52,0.01396035031074511,41.193857941707634,0.5337998792802161,341.2862297752814,0.3978034630288019,341.6391665371649,0.014937289728986891,46.40808015111358,0.010961508451627673,38.64991178090803
53,0.013949216690928615,41.175207915146785,0.5336266721814804,341.2172427245549,0.39750893124631903,341.59880834676665,0.014925808869634825,46.40003039671443,0.01094483954846235,38.61927726178237
54,0.013938103943459177,41.156575916046506,0.5334425155839813,341.1438182052642,0.3971967579833784,341.556194502429,0.014915794923583046,46.391843009252284,0.01092819521446219,38.588654188081804
55,0.013927012031228644,41.13796193306351,0.5332466974779337,341.0656600485455,0.39686576918830596,341.5111930755962,0.014906699719602418,46.38267925230726,0.010911575675679522,38.558048593102335
56,0.013915940917177856,41.1193659548391,0.5330384570211988,340.98245093823095,0.3965147006781396,341.46366377963557,0.014898183939548119,46.37293861966096,0.010894981151321922,38.52747681145075
57,0.013904890564296675,41.10078796999946,0.532816980878799,340.8938507286901,0.39614218995345885,341.4134573711055,0.014890036455408208,46.36248428012311,0.01087841184203869,38.4969202190521
58,0.013893860935623985,41.08223544751611,0.5325813992517425,340.79949460831585,0.39574676716218393,341.3604150009178,0.014882125233679827,46.351595273073244,0.010861867924251053,38.46637947680446
59,0.013882851994247707,41.06373416460509,0.5323307815649007,340.6989910921943,0.3953268451171097,341.30436751045835,0.014874367274992941,46.34021386717539,0.010845349548223141,38.43585513462942
60,0.013871863703304805,41.045250795878275,0.5320641317803866,340.5919198255001,0.3948807082618788,341.24513466721356,0.01486671011472191,46.32850010153822,0.010828856838364808,38.405347649093905
61,0.013860896025981301,41.02698575663625,0.5317803832991879,340.4778291769157,0.3944065004694485,341.18252433380644,0.014859120387200615,46.316539993087616,0.010812389894788905,38.37485739827674
62,0.013849948925512282,41.00876204692726,0.5314783934096885,340.35623359881254,0.3939022115460259,341.1163315636577,0.014851576727497266,46.30430722084452,0.010795948795500231,38.344384694304196
63,0.013839022365181922,40.99055594355609,0.5311569372371067,340.2266107280217,0.3933656623022703,341.0463376157013,0.014844065348330448,46.2918517534431,0.01077953359882786,38.31396260819909
64,0.013828116308323472,40.97236743526115,0.5308147011427602,340.08839819775915,0.3927944880427191,340.9723088796841,0.014836577273193208,46.27922074247283,0.010763144345867018,38.28363228165223
65,0.013817230718319272,40.95419651076653,0.5304502755163232,339.9409901275143,0.3921861203146261,340.8939957025933,0.01482910659848104,46.266466021477406,0.010746781062796706,38.253338447273755
66,0.013806365558600792,40.936043158782155,0.5300621468978848,339.7837332534877,0.3915377667497062,340.8111311056057,0.01482164939711753,46.2536337023117,0.010730443763003538,38.223062835414865
67,0.013795520792648602,40.91790736800369,0.5296486893595158,339.61592265735635,0.3908463888281588,340.72342937967403,0.014814203023474281,46.24070931289556,0.010714132448982392,38.192805538331584
68,0.013784696383992398,40.899789127112946,0.5292081550681726,339.43679704567774,0.3901086773958743,340.63058454642214,0.014806765670233576,46.22771270279027,0.010697847114009012,38.16256662866275
69,0.01377389229621101,40.88168842477765,0.5287386639430511,339.2455335260519,0.38932102577585737,340.5322686693544,0.014799336084055533,46.21465957870945,0.01068158774359389,38.132346162589684
70,0.013763108492932425,40.863621416497516,0.5282381923108537,339.0412418191378,0.3884795003376784,340.4281299985304,0.014791913381790301,46.201562368962016,0.010665354316734285,38.10214418249761
71,0.013752344937833767,40.845586038090396,0.5277045604518259,338.8229578376476,0.3875798084298012,340.3177909297239,0.01478449693067567,46.18843634810801,0.010649146806984732,38.07196071921665
72,0.013741601594641316,40.82756814036371,0.5271354189177989,338.58963655444353,0.3866172636465281,340.20084575667533,0.014777086269495393,46.17531084702263,0.010632965183367319,38.0417957939076
73,0.01373087842713054,40.80956771192085,0.5265282334908131,338.34014407167456,0.3855867485043507,340.07685819230437,0.014769681056139211,46.162166606132466,0.010616809411142182,38.01164941964823
74,0.013720175399126079,40.791584741351784,0.525880268637229,338.07324879143283,0.3844826747554997,339.94535863161843,0.014762281032314865,46.14900815425018,0.010600679452457497,37.98152160276673
75,0.013709492474501726,40.77361921723312,0.5251885692976052,337.7876115755278,0.3832989417876811,339.8058411255006,0.01475488599950401,46.135839070230006,0.010584575266896218,37.95141234396208
76,0.013698829617180533,40.75567112812837,0.5244499408371917,337.48177476759383,0.382028893872333,339.6577600305202,0.014747495802363843,46.122662416425214,0.01056849681193485,37.921329282362564
77,0.013688186791134687,40.73774046258766,0.5236609269658992,337.1541499347408,0.3806652774600183,339.50052629527727,0.014740110317114875,46.10948189466311,0.010552444043327747,37.89129805127112
78,0.013677563960385618,40.719840028091184,0.5228177854204585,336.8030041683031,0.37920020031980817,339.33350333854344,0.014732729443308426,46.09630497739708,0.010536416915428502,37.86128527119327
79,0.013666961089003955,40.7020257699414,0.5219164611858018,336.4264447639808,0.37762509512763504,339.1560024684789,0.014725353097914654,46.083144563623435,0.010520415381458302,37.831290924231354
80,0.013656378141109562,40.68422879975368,0.5209525570183657,336.02240208086187,0.3759306911834816,338.96727778536604,0.014717981211024961,46.06998304918494,0.010504439393729885,37.801314991043974
81,0.013645815080871529,40.66644910608215,0.5199213010223457,335.58861035683714,0.3741069993424722,338.7665205025555,0.014710613722692795,46.05682122897559,0.010488488903834083,37.7714338240836
82,0.013635271872508164,40.648686677468376,0.5188175110227357,335.12258623524605,0.3721433170449266,338.55285261147367,0.01470325058058751,46.04365972437152,0.010472563862795247,37.741579683737996
83,0.01362474848028704,40.63094150244163,0.5176355554788168,334.621604735108,0.3700282625781034,338.32531980652743,0.01469589173823645,46.030499019315684,0.010456664221200515,37.711743810949585
84,0.013614244868524961,40.613213569518756,0.5163693106921132,334.0826723763996,0.3677498504164035,338.08288357436203,0.014688537153697438,46.01733948890115,0.010440789929307328,37.681926183926784
85,0.013603761001587998,40.59550286720452,0.5150121140884671,333.5024971545722,0.36529562261296433,337.8244123390863,0.014681186788549546,46.00420511515482,0.010424940937132712,37.65212678015703
86,0.013593296843891461,40.577849909891654,0.5135567134012338,332.87745504794407,0.3626528545657989,337.5486715405808,0.014673840607121593,45.99108145300643,0.010409117194527487,37.62234557655332
87,0.01358285235989995,40.56028096254206,0.5119952116602347,332.203552742139,0.3598088566449946,337.25431250674603,0.014666498575899507,45.97795965392955,0.010393318651237769,37.592582549577045
88,0.013572427514127308,40.54272908554305,0.5103190080104224,331.47638627362335,0.3567513953912189,336.9398599623985,0.014659160663069316,45.96483983011037,0.010377545256956004,37.5628376753406
