Cash Surplus,Consumer Price Inflation,Exports goods and services growth,Import goods and services growth,Foreign direct investment inflows,Gross Savings,Labour Participation,Secondary School,Unemployment,Vulnerable Employment,GDP Growth
1.3607797027,0.9811085128,15.044505056,10.349342542,4.4675758802,41.5856346395,77.7999992371,58.15138,3.0999999046,5.0999999046,8.55
0.0001823322,-0.8446261595,7.1625522107,9.5782021922,4.2915916968,40.855327456,77.5999984741,58.15138,3.0999999046,5.1999998093,7.8
-0.3004716151,-1.1262588446,10.5203434971,12.8580999252,3.9344873242,39.8453287974,77.4500007629,59.774725,3.0999999046,5.4499998093,7.7
-0.6011255623,-1.4078915298,13.8781347835,16.1379976581,3.5773829517,38.8353301387,77.3000030518,61.39807,3.0999999046,5.6999998093,7.6
0.5214951641,-0.5762933761,22.9596748541,20.4889376379,3.3906982807,38.061178478,77.1500015259,61.74902,3.0999999046,5.6999998093,8
1.6441158906,0.2553047777,32.0412149247,24.8398776176,3.2040136097,37.2870268172,77,62.09997,3.0999999046,5.6999998093,8.4
2.5400957976,0.4891036426,21.0564333109,18.7909189208,3.2717218222,37.7100836027,76.7999992371,62.690745,3.3499999046,6.25,8.35
3.4360757046,0.7229025076,10.071651697,12.7419602239,3.3394300347,38.1331403882,76.5999984741,63.28152,3.5999999046,6.8000001907,8.3
3.1183136314,-0.0215233896,19.0645710201,14.1591823712,3.3655136858,39.4270312375,76.4500007629,63.865205,3.7999999523,7.3000001907,8.7
2.8005515582,-0.7659492868,28.0574903432,15.5764045185,3.3915973369,40.7209220867,76.3000030518,64.44889,4,7.8000001907,9.1
3.8968175273,0.1949802121,27.8430869789,23.3979172527,3.2027484203,42.4596642632,76.1000022888,65.63623,4.1500000954,7.75,9.55
4.9930834963,1.155909711,27.6286836145,31.2194299869,3.0138995036,44.1984064398,75.9000015259,66.82357,4.3000001907,7.6999998093,10
6.5417296861,2.5200461681,27.4777493963,30.5665949801,3.1145967187,45.5507649692,75.75,66.82357,4.25,7.6999998093,10.05
8.0903758758,3.8841826252,27.3268151781,29.9137599733,3.2152939338,46.9031234987,75.5999984741,66.82357,4.1999998093,7.6999998093,10.1
8.3322160049,2.852915191,25.4890349071,21.6725483992,3.9140977258,47.6102456347,75.4500007629,66.82357,4.1999998093,7.6999998093,10.7
8.574056134,1.8216477568,23.6512546361,13.4313368251,4.6129015178,48.3173677708,75.3000030518,66.82357,4.1999998093,7.6999998093,11.3
9.2595573839,1.6424184,23.7692864061,14.7368760088,4.5932970897,49.9639614856,75.2000007629,69.987455,4.1499998569,7.75,12
9.9450586338,1.4631890432,23.887318176,16.0424151926,4.5736926616,51.6105552003,75.0999984741,73.15134,4.0999999046,7.8000001907,12.7
13.3357034692,3.1067428324,21.8596402234,14.9871928644,4.5227769752,51.658983622,75,74.64744,4.0499999523,7.5,13.45
16.7263483046,4.7502966216,19.8319622707,13.9319705362,4.4718612888,51.7074120437,74.9000015259,76.14354,4,7.1999998093,14.2
17.2275583911,5.3073401721,14.1221817964,8.8590438498,4.1326710479,52.3038417282,74.7000007629,77.31703,4,7.2999999523,11.9
17.7287684776,5.8643837226,8.4124013221,3.7861171635,3.7934808071,52.9002714126,74.5,78.49052,4,7.4000000954,9.6
15.6331956998,2.580717293,-0.9562006305,3.9665060819,3.2096067661,53.1279570406,74.4500007629,79.27155,4,7.4000000954,9.4
13.537622922,-0.7029491365,-10.3248025831,4.1468950003,2.6257327252,53.3556426685,74.4000015259,80.05258,4,7.4000000954,9.2
16.4311274211,1.3057983961,8.690452354,12.1401263655,3.3675179393,52.9847065333,74.2999992371,80.61509,4.05,6.8500001431,9.8
19.3246319201,3.3145459288,27.7057072911,20.1333577307,4.1093031534,52.613770398,74.1999969482,81.1776,4.1,6.3000001907,10.4
22.0140792099,4.3626877861,18.2394869579,12.4609260348,3.9672076032,52.6823169528,74.1499977112,81.270885,4.1,6.4000000954,9.85
24.7035264996,5.4108296434,8.7732666248,4.7884943388,3.8251120529,52.7508635077,74.0999984741,81.36417,4.1,6.5,9.3
