"cash surplus","cash surplus(t-1)","consumer price inflation","consumer price inflation(t-1)","exports goods and services growth","exports goods and services growth(t-1)","import goods and services growth","import goods and services growth(t-1)","foreign direct investment inflows","foreign direct investment inflows(t-1)","gross savings","gross savings(t-1)","labour participation","labour participation(t-1)","secondary school","secondary school(t-1)","unemployment","unemployment(t-1)","vulnerable employment","vulnerable employment(t-1)","gdp growth","gdp growth(t-1)","gdp growth(t+1)"
-0.8373344242184797,-0.8332993007024468,-0.8373344242184797,-0.8332993007024468,-0.6327675359032578,-0.6516899384837367,-0.6327675359032578,-0.6516899384837367,-0.14417339266017748,-0.278618075338962,-0.14417339266017748,-0.278618075338962,-0.35094470006591494,-1,-0.35094470006591494,-1,-0.9670486927400614,-1,-0.9670486927400614,-1,-0.7295668705249163,-0.7386080748168371,-0.7205256662329953
-0.8413695477424161,-0.8373344242184797,-0.8413695477424161,-0.8373344242184797,-0.6138451333149801,-0.6327675359032578,-0.6138451333149801,-0.6327675359032578,-0.009728709981392969,-0.14417339266017748,-0.009728709981392969,-0.14417339266017748,0.29811059987188315,-0.35094470006591494,0.29811059987188315,-0.35094470006591494,-0.9340973854801229,-0.9670486927400614,-0.9340973854801229,-0.9670486927400614,-0.7205256662329953,-0.7295668705249163,-0.756487564093243
-0.8511289456268799,-0.8413695477424161,-0.8511289456268799,-0.8413695477424161,-0.5047879365009418,-0.6138451333149801,-0.5047879365009418,-0.6138451333149801,0.031770598469685885,-0.009728709981392969,0.031770598469685885,-0.009728709981392969,0.6490552999359418,0.29811059987188315,0.6490552999359418,0.29811059987188315,-0.65153788930623,-0.9340973854801229,-0.65153788930623,-0.9340973854801229,-0.756487564093243,-0.7205256662329953,-0.7924494619410429
-0.8608883435113437,-0.8511289456268799,-0.8608883435113437,-0.8511289456268799,-0.39573073967910455,-0.5047879365009418,-0.39573073967910455,-0.5047879365009418,0.07326990692076474,0.031770598469685885,0.07326990692076474,0.031770598469685885,1,0.6490552999359418,1,0.6490552999359418,-0.3689783931702926,-0.65153788930623,-0.3689783931702926,-0.65153788930623,-0.7924494619410429,-0.756487564093243,-0.6089516921090847
-0.8616045704547399,-0.8608883435113437,-0.8616045704547399,-0.8608883435113437,-0.07430638056999395,-0.39573073967910455,-0.07430638056999395,-0.39573073967910455,0.08406532602089123,0.07326990692076474,0.08406532602089123,0.07326990692076474,0.9990108110099452,1,0.9990108110099452,1,0.3155108034338312,-0.3689783931702926,0.3155108034338312,-0.3689783931702926,-0.6089516921090847,-0.7924494619410429,-0.4254539222771274
-0.8623207974060398,-0.8616045704547399,-0.8623207974060398,-0.8616045704547399,0.24711797853911666,-0.07430638056999395,0.24711797853911666,-0.07430638056999395,0.09486074511629727,0.08406532602089123,0.09486074511629727,0.08406532602089123,0.9980216220198901,0.9990108110099452,0.9980216220198901,0.9990108110099452,1,0.3155108034338312,1,0.3155108034338312,-0.4254539222771274,-0.6089516921090847,-0.32768995158185965
-0.8528720826789958,-0.8623207974060398,-0.8528720826789958,-0.8623207974060398,0.623558989265659,0.24711797853911666,0.623558989265659,0.24711797853911666,0.47021126411828407,0.09486074511629727,0.47021126411828407,0.09486074511629727,0.5623707937718714,0.9980216220198901,0.5623707937718714,0.9980216220198901,0.9611830831712311,1,0.9611830831712311,1,-0.32768995158185965,-0.4254539222771274,-0.2299259808990396
-0.8434233679598555,-0.8528720826789958,-0.8434233679598555,-0.8528720826789958,1,0.623558989265659,1,0.623558989265659,0.8455617831249918,0.47021126411828407,0.8455617831249918,0.47021126411828407,0.12671996552013964,0.5623707937718714,0.12671996552013964,0.5623707937718714,0.9223661663424625,0.9611830831712311,0.9223661663424625,0.9611830831712311,-0.2299259808990396,-0.32768995158185965,-0.2712097981076218
-0.834883299411536,-0.8434233679598555,-0.834883299411536,-0.8434233679598555,0.7137831975849498,1,0.7137831975849498,1,0.3763052511760119,0.8455617831249918,0.3763052511760119,0.8455617831249918,0.1818944082844971,0.12671996552013964,0.1818944082844971,0.12671996552013964,0.7102982378918965,0.9223661663424625,0.7102982378918965,0.9223661663424625,-0.2712097981076218,-0.2299259808990396,-0.3124936153286507
-0.8263432308632165,-0.834883299411536,-0.8263432308632165,-0.834883299411536,0.42756639517769846,0.7137831975849498,0.42756639517769846,0.7137831975849498,-0.09295128076824732,0.3763052511760119,-0.09295128076824732,0.3763052511760119,0.23706885104885456,0.1818944082844971,0.23706885104885456,0.1818944082844971,0.49823030947928615,0.7102982378918965,0.49823030947928615,0.7102982378918965,-0.3124936153286507,-0.2712097981076218,-0.36940106133782435
