"cash surplus","cash surplus(t-1)","consumer price inflation","consumer price inflation(t-1)","exports goods and services growth","exports goods and services growth(t-1)","import goods and services growth","import goods and services growth(t-1)","foreign direct investment inflows","foreign direct investment inflows(t-1)","gross savings","gross savings(t-1)","labour participation","labour participation(t-1)","secondary school","secondary school(t-1)","unemployment","unemployment(t-1)","vulnerable employment","vulnerable employment(t-1)","gdp growth","gdp growth(t-1)","gdp growth(t+1)"
0.42007602795751775,-0.1598479440849644,0.42007602795751775,-0.1598479440849644,0.14579602277344272,1,0.14579602277344272,1,-0.2245166441616654,-0.672467490062071,-0.2245166441616654,-0.672467490062071,-0.011957879369571711,-0.012035860023029588,-0.011957879369571711,-0.012035860023029588,-0.9883598824768854,-1,-0.9883598824768854,-1,0.4834157972906017,0.520868351632721,0.44596324297027534
1,0.42007602795751775,1,0.42007602795751775,-0.7084079544531144,0.14579602277344272,-0.7084079544531144,0.14579602277344272,0.22343420173874007,-0.2245166441616654,0.22343420173874007,-0.2245166441616654,-0.011879898720041027,-0.011957879369571711,-0.011879898720041027,-0.011957879369571711,-0.9767197649537709,-0.9883598824768854,-0.9767197649537709,-0.9883598824768854,0.44596324297027534,0.4834157972906017,0.5971489893146382
0.5709250518147335,1,0.5709250518147335,1,-0.5323121663731203,-0.7084079544531144,-0.5323121663731203,-0.7084079544531144,0.6117171008654745,0.22343420173874007,0.6117171008654745,0.22343420173874007,-0.12071008745332401,-0.011879898720041027,-0.12071008745332401,-0.011879898720041027,-0.9239690623000286,-0.9767197649537709,-0.9239690623000286,-0.9767197649537709,0.5971489893146382,0.44596324297027534,0.7483347356590013
0.1418501036057649,0.5709250518147335,0.1418501036057649,0.5709250518147335,-0.356216378293126,-0.5323121663731203,-0.356216378293126,-0.5323121663731203,1,0.6117171008654745,1,0.6117171008654745,-0.22954027618660688,-0.12071008745332401,-0.22954027618660688,-0.12071008745332401,-0.8712183596462864,-0.9239690623000286,-0.8712183596462864,-0.9239690623000286,0.7483347356590013,0.5971489893146382,0.7712620748817811
-0.4290749482089685,0.1418501036057649,-0.4290749482089685,0.1418501036057649,-0.02486069575820915,-0.356216378293126,-0.02486069575820915,-0.356216378293126,0.8105360379643107,1,0.8105360379643107,1,0.20736566633210995,-0.22954027618660688,0.20736566633210995,-0.22954027618660688,-0.9190426843088563,-0.8712183596462864,-0.9190426843088563,-0.8712183596462864,0.7712620748817811,0.7483347356590013,0.7941894141045611
-1,-0.4290749482089685,-1,-0.4290749482089685,0.30649498677670794,-0.02486069575820915,0.30649498677670794,-0.02486069575820915,0.6210720759364119,0.8105360379643107,0.6210720759364119,0.8105360379643107,0.644271608854754,0.20736566633210995,0.644271608854754,0.20736566633210995,-0.9668670089714261,-0.9190426843088563,-0.9668670089714261,-0.9190426843088563,0.7941894141045611,0.7712620748817811,0.8970947070522801
-0.5011383621916841,-1,-0.5011383621916841,-1,0.35669161429060336,0.30649498677670794,0.35669161429060336,0.30649498677670794,0.3222215930485204,0.6210720759364119,0.3222215930485204,0.6210720759364119,0.5179983057842559,0.644271608854754,0.5179983057842559,0.644271608854754,-0.9119174694091993,-0.9668670089714261,-0.9119174694091993,-0.9668670089714261,0.8970947070522801,0.7941894141045611,1
-0.0022767243833680118,-0.5011383621916841,-0.0022767243833680118,-0.5011383621916841,0.4068882418044988,0.35669161429060336,0.4068882418044988,0.35669161429060336,0.023371110160628206,0.3222215930485204,0.023371110160628206,0.3222215930485204,0.39172500271768507,0.5179983057842559,0.39172500271768507,0.5179983057842559,-0.8569679298880377,-0.9119174694091993,-0.8569679298880377,-0.9119174694091993,1,0.8970947070522801,0.36091916873604046
0.1769092310529261,-0.0022767243833680118,0.1769092310529261,-0.0022767243833680118,-0.27523920756777376,0.4068882418044988,-0.27523920756777376,0.4068882418044988,-0.2119383709858813,0.023371110160628206,-0.2119383709858813,0.023371110160628206,0.594723622668937,0.39172500271768507,0.594723622668937,0.39172500271768507,-0.8426972607671208,-0.8569679298880377,-0.8426972607671208,-0.8569679298880377,0.36091916873604046,1,-0.2781616625061253
0.35609518651292227,0.1769092310529261,0.35609518651292227,0.1769092310529261,-0.9573666569401139,-0.27523920756777376,-0.9573666569401139,-0.27523920756777376,-0.44724785212460016,-0.2119383709858813,-0.44724785212460016,-0.2119383709858813,0.797722242624116,0.594723622668937,0.797722242624116,0.594723622668937,-0.828426591605139,-0.8426972607671208,-0.828426591605139,-0.8426972607671208,-0.2781616625061253,0.36091916873604046,-0.4392564066892021
0.35609518651292227,0.35609518651292227,0.35609518651292227,0.35609518651292227,-0.9744210166282753,-0.9573666569401139,-0.9744210166282753,-0.9573666569401139,-0.3844902806396673,-0.44724785212460016,-0.3844902806396673,-0.44724785212460016,0.305043865474939,0.797722242624116,0.305043865474939,0.797722242624116,-0.684300752472284,-0.828426591605139,-0.684300752472284,-0.828426591605139,-0.4392564066892021,-0.2781616625061253,-0.6003511508504855
0.35609518651292227,0.35609518651292227,0.35609518651292227,0.35609518651292227,-0.9914753763165046,-0.9744210166282753,-0.9914753763165046,-0.9744210166282753,-0.3217327091547345,-0.3844902806396673,-0.3217327091547345,-0.3844902806396673,-0.18763451167423817,0.305043865474939,-0.18763451167423817,0.305043865474939,-0.5401749132983638,-0.684300752472284,-0.5401749132983638,-0.684300752472284,-0.6003511508504855,-0.4392564066892021,-0.6498775860655358
0.49849896330196675,0.35609518651292227,0.49849896330196675,0.35609518651292227,-0.9944728851183627,-0.9914753763165046,-0.9944728851183627,-0.9914753763165046,0.12395676038514636,-0.3217327091547345,0.12395676038514636,-0.3217327091547345,-0.010941243455122929,-0.18763451167423817,-0.010941243455122929,-0.18763451167423817,-0.3509320984067994,-0.5401749132983638,-0.3509320984067994,-0.5401749132983638,-0.6498775860655358,-0.6003511508504855,-0.6994040212587926
0.6409027401147129,0.49849896330196675,0.6409027401147129,0.49849896330196675,-0.9974703939202209,-0.9944728851183627,-0.9974703939202209,-0.9944728851183627,0.5696462299172362,0.12395676038514636,0.5696462299172362,0.12395676038514636,0.16575202476006523,-0.010941243455122929,0.16575202476006523,-0.010941243455122929,-0.16168928355630008,-0.3509320984067994,-0.16168928355630008,-0.3509320984067994,-0.6994040212587926,-0.6498775860655358,-0.7556537739688026
0.20675865860500853,0.6409027401147129,0.20675865860500853,0.6409027401147129,-0.9987351969600765,-0.9974703939202209,-0.9987351969600765,-0.9974703939202209,0.33146960142592463,0.5696462299172362,0.33146960142592463,0.5696462299172362,-0.12193985464290913,0.16575202476006523,-0.12193985464290913,0.16575202476006523,0.15172516122620672,-0.16168928355630008,0.15172516122620672,-0.16168928355630008,-0.7556537739688026,-0.6994040212587926,-0.8119035266570188
-0.22738542290469577,0.20675865860500853,-0.22738542290469577,0.20675865860500853,-1,-0.9987351969600765,-1,-0.9987351969600765,0.0932929729346128,0.33146960142592463,0.0932929729346128,0.33146960142592463,-0.40963173404981057,-0.12193985464290913,-0.40963173404981057,-0.12193985464290913,0.46513960600871385,0.15172516122620672,0.46513960600871385,0.15172516122620672,-0.8119035266570188,-0.7556537739688026,-0.9059517633285095
-0.09168031210939043,-0.22738542290469577,-0.09168031210939043,-0.22738542290469577,-0.9994368294703472,-1,-0.9994368294703472,-1,0.12448853140748106,0.0932929729346128,0.12448853140748106,0.0932929729346128,-0.7048158670249052,-0.40963173404981057,-0.7048158670249052,-0.40963173404981057,0.6884000313280416,0.46513960600871385,0.6884000313280416,0.46513960600871385,-0.9059517633285095,-0.8119035266570188,-1
